sampleid,Geno,SeqRegion,Compartment,Group,SoilType,Batch
SK1,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SK2,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SK3,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SK4,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SK5,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SK6,Kitaake,V5toV7,Rhizo,Kit_NSM,Loam,3
SC1,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SC2,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SC3,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SC4,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SC5,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SC6,cerk1,V5toV7,Rhizo,Kit_NSM,Loam,3
SR1,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
SR2,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
SR3,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
SR4,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
SR5,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
SR6,fls2,V5toV7,Rhizo,Kit_NSM,Loam,3
XF1,Input,V5toV7,Input,Kit_NSM,Loam,3
XF2,Input,V5toV7,Input,Kit_NSM,Loam,3
XF3,Input,V5toV7,Input,Kit_NSM,Loam,3
XF4,Input,V5toV7,Input,Kit_NSM,Loam,3
XF5,Input,V5toV7,Input,Kit_NSM,Loam,3
XF6,Input,V5toV7,Input,Kit_NSM,Loam,3
R1,fls2,V5toV7,Root,Kit_NSM,Loam,3
R2,fls2,V5toV7,Root,Kit_NSM,Loam,3
R3,fls2,V5toV7,Root,Kit_NSM,Loam,3
R4,fls2,V5toV7,Root,Kit_NSM,Loam,3
R5,fls2,V5toV7,Root,Kit_NSM,Loam,3
R6,fls2,V5toV7,Root,Kit_NSM,Loam,3
K1,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
K2,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
K3,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
K4,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
K5,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
K6,Kitaake,V5toV7,Root,Kit_NSM,Loam,3
C1,cerk1,V5toV7,Root,Kit_NSM,Loam,3
C2,cerk1,V5toV7,Root,Kit_NSM,Loam,3
C3,cerk1,V5toV7,Root,Kit_NSM,Loam,3
C4,cerk1,V5toV7,Root,Kit_NSM,Loam,3
C5,cerk1,V5toV7,Root,Kit_NSM,Loam,3
C6,cerk1,V5toV7,Root,Kit_NSM,Loam,3
o1_xgl_soil_1,MH63,V5toV7,Rhizo,MH63_NSM,Organic,1
o1_xgl_soil_2,MH63,V5toV7,Rhizo,MH63_NSM,Organic,1
o1_xgl_soil_3,MH63,V5toV7,Rhizo,MH63_NSM,Organic,1
o2_xgl_soil_1,MH63,V5toV7,Rhizo,MH63_NSM,Organic,2
o2_xgl_soil_2,MH63,V5toV7,Rhizo,MH63_NSM,Organic,2
o2_xgl_soil_3,MH63,V5toV7,Rhizo,MH63_NSM,Organic,2
o1_xgl_root_1,MH63,V5toV7,Root,MH63_NSM,Organic,1
o1_xgl_root_2,MH63,V5toV7,Root,MH63_NSM,Organic,1
o1_xgl_root_3,MH63,V5toV7,Root,MH63_NSM,Organic,1
o2_xgl_root_1,MH63,V5toV7,Root,MH63_NSM,Organic,2
o2_xgl_root_2,MH63,V5toV7,Root,MH63_NSM,Organic,2
o2_xgl_root_3,MH63,V5toV7,Root,MH63_NSM,Organic,2
s1_xgl_soil_1,MH63,V5toV7,Rhizo,MH63_NSM,Loam,1
s1_xgl_soil_2,MH63,V5toV7,Rhizo,MH63_NSM,Loam,1
s1_xgl_soil_3,MH63,V5toV7,Rhizo,MH63_NSM,Loam,1
s2_xgl_soil_1,MH63,V5toV7,Rhizo,MH63_NSM,Loam,2
s2_xgl_soil_2,MH63,V5toV7,Rhizo,MH63_NSM,Loam,2
s2_xgl_soil_3,MH63,V5toV7,Rhizo,MH63_NSM,Loam,2
XF1_1,Input,V5toV7,Input,MH63_NSM,Loam,1
XF1_2,Input,V5toV7,Input,MH63_NSM,Loam,1
XF1_3,Input,V5toV7,Input,MH63_NSM,Loam,1
XF2_1,Input,V5toV7,Input,MH63_NSM,Loam,2
XF2_2,Input,V5toV7,Input,MH63_NSM,Loam,2
XF2_3,Input,V5toV7,Input,MH63_NSM,Loam,2
s1_xgl_root_1,MH63,V5toV7,Root,MH63_NSM,Loam,1
s1_xgl_root_2,MH63,V5toV7,Root,MH63_NSM,Loam,1
s1_xgl_root_3,MH63,V5toV7,Root,MH63_NSM,Loam,1
s2_xgl_root_1,MH63,V5toV7,Root,MH63_NSM,Loam,2
s2_xgl_root_2,MH63,V5toV7,Root,MH63_NSM,Loam,2
s2_xgl_root_3,MH63,V5toV7,Root,MH63_NSM,Loam,2